Price,Date,Adj Close,Close,High,Low,Open,Volume
Ticker,,EWZ,EWZ,EWZ,EWZ,EWZ,EWZ
0,2015-01-01,20.6551570892334,34.310001373291016,38.20000076293945,34.04999923706055,35.97999954223633,335835300
1,2015-02-01,21.299314498901367,35.380001068115234,35.959999084472656,32.63999938964844,34.119998931884766,287174500
2,2015-03-01,18.885229110717773,31.3700008392334,35.189998626708984,28.81999969482422,35.150001525878906,431106500
3,2015-04-01,21.79898452758789,36.209999084472656,37.529998779296875,31.959999084472656,32.13999938964844,359961200
4,2015-05-01,19.427043914794922,32.27000045776367,37.349998474121094,32.2400016784668,36.29999923706055,326089800
5,2015-06-01,19.728050231933594,32.77000045776367,34.630001068115234,32.2400016784668,32.4900016784668,264506300
6,2015-07-01,17.58941650390625,28.690000534057617,32.9900016784668,27.540000915527344,32.79999923706055,331146100
7,2015-08-01,15.253556251525879,24.8799991607666,28.469999313354492,22.989999771118164,28.389999389648438,392608500
8,2015-09-01,13.457221031188965,21.950000762939453,24.770000457763672,20.059999465942383,23.959999084472656,440325900
9,2015-10-01,14.021258354187012,22.8700008392334,25.5,21.489999771118164,21.989999771118164,409938800
10,2015-11-01,13.806678771972656,22.520000457763672,25.829999923706055,22.43000030517578,23.0,401389600
11,2015-12-01,12.67860221862793,20.68000030517578,24.18000030517578,20.540000915527344,22.56999969482422,377622200
12,2016-01-01,12.292451858520508,19.829999923706055,20.31999969482422,17.299999237060547,20.31999969482422,351504200
13,2016-02-01,12.701579093933105,20.489999771118164,21.139999389648438,18.559999465942383,19.280000686645508,365183800
14,2016-03-01,16.30315399169922,26.299999237060547,27.520000457763672,20.639999389648438,20.739999771118164,668954100
15,2016-04-01,18.29300308227539,29.510000228881836,29.959999084472656,24.75,25.969999313354492,456106200
16,2016-05-01,15.770047187805176,25.440000534057617,29.56999969482422,25.290000915527344,29.049999237060547,414640000
17,2016-06-01,18.708332061767578,30.18000030517578,30.479999542236328,25.149999618530273,25.3700008392334,496506400
18,2016-07-01,20.75782012939453,33.2400016784668,33.310001373291016,28.649999618530273,30.239999771118164,346039700
19,2016-08-01,20.932676315307617,33.52000045776367,35.060001373291016,31.760000228881836,33.08000183105469,449346300
20,2016-09-01,21.06381607055664,33.72999954223633,35.40999984741211,31.81999969482422,33.2599983215332,434708400
21,2016-10-01,23.580486297607422,37.7599983215332,38.5,33.720001220703125,33.869998931884766,379951200
22,2016-11-01,20.9139404296875,33.4900016784668,37.880001068115234,31.200000762939453,37.630001068115234,574993200
23,2016-12-01,20.820270538330078,33.34000015258789,33.779998779296875,31.040000915527344,32.66999816894531,380353600
24,2017-01-01,23.31679916381836,36.869998931884766,37.9900016784668,34.02000045776367,34.04999923706055,353533400
25,2017-02-01,23.86067008972168,37.72999954223633,40.79999923706055,36.869998931884766,37.2599983215332,262659800
26,2017-03-01,23.68992042541504,37.459999084472656,39.0,36.189998626708984,38.29999923706055,354908000
